original,varname,label_shorthand,column,type,highermeans
Firm number,firm_num,Firm number,A,,
Firm name,firm_name,Firm name,B,,
Name,name,Participant full name,C,,
Experience,exp,Years of experience,D,Int,
Junior/expert,expert,Expert or junior,E,,
Email,email,Email address,F,,
Group,group,"Group of random assignment (2=treatment, 1=control)",G,,
Included,included,Inclusion marker for random assignment,H,,
TT1_Summary (drafting),tt1_sum_drades,10-day drafting,I,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Enforceability]",tt1_dra_enf,10-day task drafting exercise - enforceability,J,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Technical Accuracy]",tt1_dra_tec,10-day task drafting exercise - technical accuracy,K,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Strategic Ambiguity]",tt1_dra_str,10-day task drafting exercise - strategic ambiguity,L,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Completeness and Alignment with Objectives]",tt1_dra_com,10-day task drafting exercise - completeness and alignment,M,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Clarity ]",tt1_dra_cla,10-day task drafting exercise - clarity,N,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Enforceability]",tt1_des_enf,10-day task description exercise - enforceability,O,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Technical Accuracy]",tt1_des_tec,10-day task description exercise - technical accuracy,P,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Strategic Ambiguity]",tt1_des_str,10-day task description exercise - strategic ambiguity,Q,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Completeness and Alignment with Objectives]",tt1_des_com,10-day task description exercise - completeness and alignment,R,Likert,higher score
"TT1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Clarity ]",tt1_des_cla,10-day task description exercise - clarity,S,Likert,higher score
TT1_Please rate the quality of the CRITIQUE section's redlined edits.   [Enforceability],tt1_cri_enf,10-day task redlining exercise - enforceability,T,Likert,higher score
TT1_Please rate the quality of the CRITIQUE section's redlined edits.   [Technical Accuracy],tt1_cri_tec,10-day task redlining exercise - technical accuracy,U,Likert,higher score
TT1_Please rate the quality of the CRITIQUE section's redlined edits.   [Strategic Ambiguity],tt1_cri_str,10-day task redlining exercise - strategic ambiguity,V,Likert,higher score
TT1_Please rate the quality of the CRITIQUE section's redlined edits.   [Completeness and Alignment with Objectives],tt1_cri_com,10-day task redlining exercise - completeness and alignment,W,Likert,higher score
TT1_Please rate the quality of the CRITIQUE section's redlined edits.   [Clarity ],tt1_cri_cla,10-day task redlining exercise - clarity,X,Likert,higher score
TT2_Summary (drafting),tt2_sum_drades,90-day drafting,Y,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Enforceability]",tt2_dra_enf,90-day task drafting exercise - enforceability,Z,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Technical Accuracy]",tt2_dra_tec,90-day task drafting exercise - technical accuracy,AA,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Strategic Ambiguity]",tt2_dra_str,90-day task drafting exercise - strategic ambiguity,AB,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Completeness and Alignment with Objectives]",tt2_dra_com,90-day task drafting exercise - completeness and alignment,AC,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Clarity ]",tt2_dra_cla,90-day task drafting exercise - clarity,AD,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Enforceability]",tt2_des_enf,90-day task description exercise - enforceability,AE,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Technical Accuracy]",tt2_des_tec,90-day task description exercise - technical accuracy,AF,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Strategic Ambiguity]",tt2_des_str,90-day task description exercise - strategic ambiguity,AG,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Completeness and Alignment with Objectives]",tt2_des_com,90-day task description exercise - completeness and alignment,AH,Likert,higher score
"TT2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Clarity ]",tt2_des_cla,90-day task description exercise - clarity,AI,Likert,higher score
TT2_Summary (critique),tt2_sum_cri,90-day redlining,AJ,Likert,higher score
TT2_Please rate the quality of the CRITIQUE section's redlined edits.   [Enforceability],tt2_cri_enf,Enforceability,AK,Likert,higher score
TT2_Please rate the quality of the CRITIQUE section's redlined edits.   [Technical Accuracy],tt2_cri_tec,Technical Accuracy,AL,Likert,higher score
TT2_Please rate the quality of the CRITIQUE section's redlined edits.   [Strategic Ambiguity],tt2_cri_str,Strategic Ambiguity,AM,Likert,higher score
TT2_Please rate the quality of the CRITIQUE section's redlined edits.   [Completeness and Alignment with Objectives],tt2_cri_com,Completeness and Alignment,AN,Likert,higher score
