批判理論	批 判 理 論
念珠菌症	念 珠 菌 症
嘰嘰歪歪	嘰 嘰 歪 歪
睇脉	睇 脉
支庶	支 庶
纳粹主义	纳 粹 主 义
發汗	發 汗
鰟	鰟
熟行	熟 行
扢	扢
美容	美 容
气肿	气 肿
權變	權 變
甚至于	甚 至 于
曦和	曦 和
痙攣	痙 攣
结清	结 清
越航	越 航
鼻飼	鼻 飼
司馬斤	司 馬 斤
烤肉串	烤 肉 串
發射臺	發 射 臺
錦雞	錦 雞
看輕人	看 輕 人
偃月刀	偃 月 刀
馬騮	馬 騮
戲玉	戲 玉
眼寃	眼 寃
腳球	腳 球
诱敌深入	诱 敌 深 入
廁缸	廁 缸
够呛	够 呛
富含	富 含
晚高峰	晚 高 峰
大酒店	大 酒 店
尼科西亚	尼 科 西 亚
車速	車 速
母艦	母 艦
辛苦你了	辛 苦 你 了
粘着剂	粘 着 剂
贴金	贴 金
發狼戾	發 狼 戾
目瞨	目 瞨
知法犯法	知 法 犯 法
下週	下 週
本征值	本 征 值
不孕症	不 孕 症
門簾	門 簾
丧乱	丧 乱
止饥	止 饥
廣告牌	廣 告 牌
法學碩士	法 學 碩 士
黑户口	黑 户 口
直窦	直 窦
每隔	每 隔
落叶归根	落 叶 归 根
土产	土 产
乍浦	乍 浦
巧奪天工	巧 奪 天 工
低級脂肪酸	低 級 脂 肪 酸
印度話	印 度 話
电光石火	电 光 石 火
磁力共振	磁 力 共 振
这辄	这 辄
㜫	㜫
膨風	膨 風
草昧	草 昧
娘仔茧	娘 仔 茧
狡鬼	狡 鬼
断刑	断 刑
曬	曬
弼馬温	弼 馬 温
𬑓	𬑓
百無聊賴	百 無 聊 賴
假设	假 设
沧县	沧 县
南方人	南 方 人
㟙	㟙
知书达礼	知 书 达 礼
初生之犢	初 生 之 犢
馬厩	馬 厩
癌細胞	癌 細 胞
事后诸葛亮	事 后 诸 葛 亮
浪白澳	浪 白 澳
𩨑	𩨑
西方中心主義	西 方 中 心 主 義
百业	百 业
检视	检 视
